	postsynaptic_ID	counts	presynaptic_ID	partner_ID	name	top_nt	super_class	cell_class
108	720575940639136600	2	720575940608603331	720575940639136600	Tm9	acetylcholine	optic	ME>LO
109	720575940620129950	2	720575940608603331	720575940620129950	Am	acetylcholine	optic	LA
110	720575940606524337	2	720575940608603331	720575940606524337	R8	gaba	sensory	visual
111	720575940383692987	2	720575940608603331	720575940383692987	nan	nan	nan	nan
112	720575940623402876	2	720575940608603331	720575940623402876	Am	acetylcholine	optic	LA
113	720575940639409536	2	720575940608603331	720575940639409536	CB3854	gaba	optic	ME
114	720575940443673447	2	720575940608603331	720575940443673447	nan	nan	nan	nan
115	720575940604425152	2	720575940608603331	720575940604425152	nan	nan	nan	nan
116	720575940618094746	1	720575940608603331	720575940618094746	nan	nan	nan	nan
117	720575940618174106	1	720575940608603331	720575940618174106	nan	nan	nan	nan
118	720575940604419264	1	720575940608603331	720575940604419264	nan	nan	nan	nan
119	720575940629840375	1	720575940608603331	720575940629840375	Dm13	gaba	optic	ME
120	720575940618096538	1	720575940608603331	720575940618096538	nan	nan	nan	nan
121	720575940618098074	1	720575940608603331	720575940618098074	nan	nan	nan	nan
122	720575940522050840	1	720575940608603331	720575940522050840	nan	nan	nan	nan
123	720575940608175061	1	720575940608603331	720575940608175061	Mi2	gaba	optic	ME
124	720575940596405429	1	720575940608603331	720575940596405429	nan	nan	nan	nan
125	720575940384163204	1	720575940608603331	720575940384163204	nan	nan	nan	nan
126	720575940618175130	1	720575940608603331	720575940618175130	nan	nan	nan	nan
127	720575940632085063	1	720575940608603331	720575940632085063	C3	gaba	optic	ME>LA
128	720575940443659111	1	720575940608603331	720575940443659111	nan	nan	nan	nan
129	720575940629895038	1	720575940608603331	720575940629895038	Dm18	gaba	optic	ME
130	720575940566728108	1	720575940608603331	720575940566728108	nan	nan	nan	nan
131	720575940615068895	1	720575940608603331	720575940615068895	T4c	acetylcholine	optic	ME>LOP
132	720575940598410173	1	720575940608603331	720575940598410173	nan	nan	nan	nan
133	720575940618172570	1	720575940608603331	720575940618172570	nan	nan	nan	nan
134	720575940627483142	1	720575940608603331	720575940627483142	Mi2	glutamate	optic	ME
135	720575940383691195	1	720575940608603331	720575940383691195	nan	nan	nan	nan
136	720575940618183066	1	720575940608603331	720575940618183066	nan	nan	nan	nan
137	720575940384156036	1	720575940608603331	720575940384156036	nan	nan	nan	nan
138	720575940629703785	1	720575940608603331	720575940629703785	Dm9	acetylcholine	optic	ME
139	720575940596402869	1	720575940608603331	720575940596402869	nan	nan	nan	nan
140	720575940443653223	1	720575940608603331	720575940443653223	nan	nan	nan	nan
141	720575940612189026	1	720575940608603331	720575940612189026	nan	nan	nan	nan
142	720575940443688039	1	720575940608603331	720575940443688039	nan	nan	nan	nan
143	720575940443661415	1	720575940608603331	720575940443661415	nan	nan	nan	nan
144	720575940383310714	1	720575940608603331	720575940383310714	nan	nan	nan	nan
145	720575940616609148	1	720575940608603331	720575940616609148	nan	nan	nan	nan
146	720575940384151172	1	720575940608603331	720575940384151172	nan	nan	nan	nan
147	720575940604277696	1	720575940608603331	720575940604277696	nan	nan	nan	nan
148	720575940595842647	1	720575940608603331	720575940595842647	nan	nan	nan	nan
149	720575940610589069	1	720575940608603331	720575940610589069	nan	nan	nan	nan
150	720575940529457486	1	720575940608603331	720575940529457486	nan	nan	nan	nan
151	720575940443669351	1	720575940608603331	720575940443669351	nan	nan	nan	nan
152	720575940622342689	45	720575940625926926	720575940622342689	L1	glutamate	optic	LA>ME
153	720575940606016288	36	720575940625926926	720575940606016288	L2	acetylcholine	optic	LA>ME
154	720575940618572869	20	720575940625926926	720575940618572869	L5	acetylcholine	optic	LA>ME
155	720575940635287450	11	720575940625926926	720575940635287450	L4	acetylcholine	optic	LA>ME
156	720575940622515839	11	720575940625926926	720575940622515839	L3	acetylcholine	optic	LA>ME
157	720575940624185904	10	720575940625926926	720575940624185904	Mi1	acetylcholine	optic	ME
158	720575940620084091	10	720575940625926926	720575940620084091	Am	gaba	optic	LA
159	720575940626535957	6	720575940625926926	720575940626535957	Mi15	acetylcholine	optic	ME
160	720575940612987029	6	720575940625926926	720575940612987029	T1	acetylcholine	optic	ME>LA
161	720575940612426489	6	720575940625926926	720575940612426489	nan	nan	nan	nan
162	720575940610630098	5	720575940625926926	720575940610630098	Tm1	acetylcholine	optic	ME>LO
163	720575940620750830	5	720575940625926926	720575940620750830	Mi2	glutamate	optic	ME
164	720575940618911060	4	720575940625926926	720575940618911060	Dm20	gaba	optic	ME
165	720575940409774460	4	720575940625926926	720575940409774460	nan	nan	nan	nan
166	720575940577099624	3	720575940625926926	720575940577099624	nan	nan	nan	nan
167	720575940633446507	3	720575940625926926	720575940633446507	L4	acetylcholine	optic	LA>ME
168	720575940617834681	3	720575940625926926	720575940617834681	C3	gaba	optic	ME>LA
169	720575940623833066	3	720575940625926926	720575940623833066	L5	acetylcholine	optic	LA>ME
170	720575940640793944	3	720575940625926926	720575940640793944	Am	gaba	optic	LA
171	720575940624217323	2	720575940625926926	720575940624217323	L1	glutamate	optic	LA>ME
172	720575940507542911	2	720575940625926926	720575940507542911	nan	nan	nan	nan
173	720575940577097064	2	720575940625926926	720575940577097064	nan	nan	nan	nan
174	720575940607139073	2	720575940625926926	720575940607139073	nan	nan	nan	nan
175	720575940607894217	2	720575940625926926	720575940607894217	nan	nan	nan	nan
176	720575940409773436	2	720575940625926926	720575940409773436	nan	nan	nan	nan
177	720575940515874051	2	720575940625926926	720575940515874051	nan	nan	nan	nan
178	720575940634276833	2	720575940625926926	720575940634276833	L4	acetylcholine	optic	LA>ME
179	720575940549932956	2	720575940625926926	720575940549932956	nan	nan	nan	nan
180	720575940502674033	2	720575940625926926	720575940502674033	nan	nan	nan	nan
181	720575940611480838	2	720575940625926926	720575940611480838	nan	nan	nan	nan
182	720575940507543679	1	720575940625926926	720575940507543679	nan	nan	nan	nan
183	720575940428901226	1	720575940625926926	720575940428901226	nan	nan	nan	nan
184	720575940610968838	1	720575940625926926	720575940610968838	Mi9	glutamate	optic	ME
185	720575940635148468	1	720575940625926926	720575940635148468	Mi4	gaba	optic	ME
186	720575940580651459	1	720575940625926926	720575940580651459	nan	nan	nan	nan
187	720575940411176105	1	720575940625926926	720575940411176105	nan	nan	nan	nan
188	720575940515899651	1	720575940625926926	720575940515899651	nan	nan	nan	nan
189	720575940409778812	1	720575940625926926	720575940409778812	nan	nan	nan	nan
190	720575940631403608	1	720575940625926926	720575940631403608	nan	nan	nan	nan
191	720575940622126597	1	720575940625926926	720575940622126597	Mi14	glutamate	optic	ME
192	720575940620977590	1	720575940625926926	720575940620977590	Tm16	acetylcholine	optic	ME>LO
193	720575940618251153	1	720575940625926926	720575940618251153	nan	nan	nan	nan
194	720575940631402328	1	720575940625926926	720575940631402328	nan	nan	nan	nan
195	720575940382545095	1	720575940625926926	720575940382545095	nan	nan	nan	nan
196	720575940617194129	1	720575940625926926	720575940617194129	T3	acetylcholine	optic	ME>LO
197	720575940636543668	1	720575940625926926	720575940636543668	CB0592	acetylcholine	optic	bilateral
198	720575940631397720	1	720575940625926926	720575940631397720	nan	nan	nan	nan
199	720575940611808774	1	720575940625926926	720575940611808774	nan	nan	nan	nan
200	720575940611481862	1	720575940625926926	720575940611481862	nan	nan	nan	nan
201	720575940382541511	1	720575940625926926	720575940382541511	nan	nan	nan	nan
202	720575940411183273	1	720575940625926926	720575940411183273	nan	nan	nan	nan
203	720575940622049702	1	720575940625926926	720575940622049702	Dm9	acetylcholine	optic	ME
204	720575940515863811	1	720575940625926926	720575940515863811	nan	nan	nan	nan
205	720575940640238499	1	720575940625926926	720575940640238499	T4c	acetylcholine	optic	ME>LOP
206	720575940592442648	1	720575940625926926	720575940592442648	nan	nan	nan	nan
207	720575940502657905	1	720575940625926926	720575940502657905	nan	nan	nan	nan
208	720575940515866371	1	720575940625926926	720575940515866371	nan	nan	nan	nan
209	720575940515867907	1	720575940625926926	720575940515867907	nan	nan	nan	nan
210	720575940631334488	1	720575940625926926	720575940631334488	nan	nan	nan	nan
211	720575940647580468	34	720575940604650464	720575940647580468	L1	glutamate	optic	LA>ME
212	720575940628493574	28	720575940604650464	720575940628493574	L5	acetylcholine	optic	LA>ME
213	720575940616991371	25	720575940604650464	720575940616991371	L2	acetylcholine	optic	LA>ME
214	720575940623942408	17	720575940604650464	720575940623942408	Mi1	acetylcholine	optic	ME
215	720575940616914482	12	720575940604650464	720575940616914482	L4	acetylcholine	optic	LA>ME
216	720575940616059846	10	720575940604650464	720575940616059846	Tm1	acetylcholine	optic	ME>LO
217	720575940631117568	8	720575940604650464	720575940631117568	L4	acetylcholine	optic	LA>ME
218	720575940509980880	7	720575940604650464	720575940509980880	nan	nan	nan	nan
219	720575940642650331	5	720575940604650464	720575940642650331	Dm9	acetylcholine	optic	ME
220	720575940631675693	4	720575940604650464	720575940631675693	Tm9	acetylcholine	optic	ME>LO
221	720575940625217294	4	720575940604650464	720575940625217294	L3	acetylcholine	optic	LA>ME
222	720575940602668628	3	720575940604650464	720575940602668628	nan	nan	nan	nan
223	720575940500114631	3	720575940604650464	720575940500114631	nan	nan	nan	nan
224	720575940617036044	3	720575940604650464	720575940617036044	Mi2	glutamate	optic	ME
225	720575940543606600	3	720575940604650464	720575940543606600	nan	nan	nan	nan
226	720575940481740282	3	720575940604650464	720575940481740282	nan	nan	nan	nan
227	720575940633583820	3	720575940604650464	720575940633583820	Am	acetylcholine	optic	LA
228	720575940602804308	3	720575940604650464	720575940602804308	nan	nan	nan	nan
